Unique Key,InitDate,Descriptor,Zip,Address,Cross Street 1,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Latitude,Longitude,Location
33766372,7/5/16 0:00,Rat Sighting,11216,159 ROGERS AVENUE,STERLING PLACE,BROOKLYN,997270,184142,40.67209443,-73.95306364,"(40.67209442589381, -73.95306363901119)"
33766373,7/5/16 0:00,Rat Sighting,10032,2104 AMSTERDAM AVENUE,WEST 164 STREET,MANHATTAN,1001203,244369,40.83739548,-73.93873355,"(40.83739547590572, -73.93873354882584)"
33766374,7/6/16 0:00,Rat Sighting,10459,1023 REVEREND JAMES A POLITE AVENUE,EAST 165 STREET,BRONX,1012237,239541,40.82411593,-73.89887794,"(40.82411593472161, -73.89887794358428)"
33767379,7/7/16 0:00,Rat Sighting,11203,142 EAST   46 STREET,RUTLAND ROAD,BROOKLYN,1002270,179310,40.6588229,-73.93505184,"(40.65882289679543, -73.93505184371786)"
33767406,7/6/16 0:00,Rat Sighting,10035,14 EAST  125 STREET,5 AVENUE,MANHATTAN,1000389,232992,40.80617036,-73.94170263,"(40.80617036004671, -73.94170262567204)"
33767407,7/6/16 0:00,Rat Sighting,11226,369 EAST   21 STREET,REGENT PLACE,BROOKLYN,995615,174406,40.64537353,-73.95904623,"(40.64537352884228, -73.95904622815529)"
33768451,7/6/16 0:00,Rat Sighting,11216,217 MACON STREET,TOMPKINS AVENUE,BROOKLYN,1000193,187719,40.6819077,-73.94251793,"(40.681907699684416, -73.94251793093385)"
33768453,7/6/16 0:00,Rat Sighting,11226,1012 FLATBUSH AVENUE,ALBEMARLE ROAD,BROOKLYN,995871,174893,40.64670991,-73.95812289,"(40.64670990634165, -73.9581228934647)"
33768502,7/6/16 0:00,Rat Sighting,11358,163-18 SANFORD AVE,,QUEENS,1039004,216142,40.75976679,-73.80235497,"(40.75976678581794, -73.80235497198217)"
33768513,7/6/16 0:00,Rat Sighting,11238,36 QUINCY STREET,DOWNING STREET,BROOKLYN,995356,189164,40.68588129,-73.95995522,"(40.685881285181665, -73.95995522313616)"
33768517,7/6/16 0:00,Rat Sighting,10310,627 CARY AVENUE,TAYLOR STREET,STATEN ISLAND,950112,169536,40.63194793,-74.12299155,"(40.631947930207, -74.1229915542706)"
33768518,7/6/16 0:00,Rat Sighting,10013,504 CANAL STREET,GREENWICH STREET,MANHATTAN,981619,203345,40.72481137,-74.00949211,"(40.72481136529166, -74.00949210789301)"
33768524,7/6/16 0:00,Rat Sighting,11226,935 FLATBUSH AVENUE,CHURCH AVENUE,BROOKLYN,995802,175740,40.64903483,-73.95837009,"(40.64903482801939, -73.95837008932683)"
33768573,7/6/16 0:00,Rat Sighting,10464,606 KING AVENUE,KILROE STREET,BRONX,1042555,250934,40.85523822,-73.78923483,"(40.85523822009549, -73.78923483270324)"
33768574,7/6/16 0:00,Rat Sighting,10021,520 EAST   76 STREET,YORK AVENUE,MANHATTAN,997773,219501,40.76914557,-73.95117931,"(40.769145574824584, -73.95117931146797)"
33768575,7/6/16 0:00,Rat Sighting,10461,1742 TOMLINSON AVENUE,VAN NEST AVENUE,BRONX,1025287,248697,40.84919548,-73.85167001,"(40.84919547816024, -73.85167000730388)"
33768585,7/6/16 0:00,Rat Sighting,11216,685 NOSTRAND AVENUE,PROSPECT PLACE,BROOKLYN,998087,184770,40.67381691,-73.95011711,"(40.67381690539199, -73.9501171118049)"
33768587,7/6/16 0:00,Rat Sighting,10467,3510 JEROME AVENUE,EAST GUN HILL ROAD,BRONX,1017187,261059,40.88315931,-73.880887,"(40.88315931248764, -73.88088700444037)"
33769553,7/6/16 0:00,Rat Sighting,10035,72 EAST 127TH STREET,,MANHATTAN,1001153,233092,40.8064434,-73.93894265,"(40.806443403799214, -73.93894265024906)"
33769558,7/6/16 0:00,Rat Sighting,11217,45 PLAZA STREET WEST,BERKELEY PLACE,BROOKLYN,992203,184603,40.67336577,-73.97132934,"(40.6733657693926, -73.97132934075522)"
33769559,7/6/16 0:00,Rat Sighting,11226,2714 AVENUE D,ROGERS AVENUE,BROOKLYN,997805,172732,40.64077568,-73.95115793,"(40.64077567833716, -73.95115792918774)"
33769560,7/6/16 0:00,Rat Sighting,11206,44 HART STREET,NOSTRAND AVENUE,BROOKLYN,998056,191758,40.69299742,-73.95021455,"(40.692997417737054, -73.95021455016521)"
33769561,7/6/16 0:00,Rat Sighting,11203,653 BROOKLYN AVENUE,HAWTHORNE STREET,BROOKLYN,999470,179011,40.65800746,-73.94514435,"(40.658007463212485, -73.94514434908204)"
33769624,7/6/16 0:00,Rat Sighting,11221,15 SUYDAM STREET,BROADWAY,BROOKLYN,1003128,192791,40.6958234,-73.93192166,"(40.69582339694627, -73.93192165704905)"
33769627,7/6/16 0:00,Rat Sighting,11225,521 MONTGOMERY STREET,NEW YORK AVENUE,BROOKLYN,998881,181635,40.66521076,-73.94726152,"(40.66521075542398, -73.94726151791812)"
33769637,7/6/16 0:00,Rat Sighting,10002,,,MANHATTAN,987490,198453,40.7113838,-73.9883131,"(40.7113837983112, -73.98831309985856)"
33769638,7/6/16 0:00,Rat Sighting,11215,391 8 STREET,6 AVENUE,BROOKLYN,989187,182667,40.66805408,-73.98220347,"(40.66805407833946, -73.98220347404177)"
33769699,7/6/16 0:00,Rat Sighting,10457,1504 SHERIDAN AVENUE,EAST 172 STREET,BRONX,1008775,245639,40.84086347,-73.91136447,"(40.840863472892416, -73.91136446776771)"
33769700,7/6/16 0:00,Rat Sighting,10032,25 FORT WASHINGTON AVENUE,BEND,MANHATTAN,999555,243856,40.83599045,-73.94469043,"(40.835990449614386, -73.94469042537882)"
33769701,7/6/16 0:00,Rat Sighting,11230,660 RUGBY ROAD,FOSTER AVENUE,BROOKLYN,994268,170048,40.63341338,-73.96390661,"(40.633413377989285, -73.963906612064)"
33769706,7/6/16 0:00,Rat Sighting,11691,1315 CENTRAL AVENUE,NEILSON STREET,QUEENS,1053754,160543,40.60705722,-73.74968578,"(40.60705722332646, -73.74968578429821)"
33769724,7/6/16 0:00,Rat Sighting,10065,13 EAST   66 STREET,5 AVENUE,MANHATTAN,992801,219213,40.7683613,-73.96912957,"(40.7683612973133, -73.96912957342884)"
